Book_Title,Book_Url,Author_Name,Author_Url,Book_Cover
The man in the brown suit,https://openlibrary.org/works/OL472549W?edition=key%3A/books/OL22471881M,['Agatha Christie'],['https://openlibrary.org/authors/OL27695A/Agatha_Christie'],https://covers.openlibrary.org/b/id/13262113-M.jpg
Fahrenheit 451,https://openlibrary.org/works/OL103123W?edition=key%3A/books/OL26436571M,['Ray Bradbury'],['https://openlibrary.org/authors/OL24137A/Ray_Bradbury'],https://covers.openlibrary.org/b/id/8151227-M.jpg
Winnie-the-Pooh,https://openlibrary.org/works/OL476641W?edition=key%3A/books/OL19787967M,['A. A. Milne'],['https://openlibrary.org/authors/OL29881A/A._A._Milne'],https://openlibrary.org/images/icons/avatar_book-sm.png
Ulysses,https://openlibrary.org/works/OL86318W?edition=key%3A/books/OL35483053M,['James Joyce'],['https://openlibrary.org/authors/OL31827A/James_Joyce'],https://openlibrary.org/images/icons/avatar_book-sm.png
Ivanhoe,https://openlibrary.org/works/OL863808W?edition=key%3A/books/OL13072673M,['Sir Walter Scott'],['https://openlibrary.org/authors/OL75235A/Sir_Walter_Scott'],https://openlibrary.org/images/icons/avatar_book-sm.png
El extranjero,https://openlibrary.org/works/OL1230613W?edition=key%3A/books/OL9890743M,['Albert Camus'],['https://openlibrary.org/authors/OL124171A/Albert_Camus'],https://covers.openlibrary.org/b/id/12722807-M.jpg
A study in scarlet,https://openlibrary.org/works/OL262496W?edition=key%3A/books/OL15190635M,['Arthur Conan Doyle'],['https://openlibrary.org/authors/OL161167A/Arthur_Conan_Doyle'],https://openlibrary.org/images/icons/avatar_book-sm.png
The Canterbury tales: As translated into modern English,https://openlibrary.org/works/OL531767W?edition=key%3A/books/OL19788144M,"['Geoffrey Chaucer', 'John E. Cunningham']","['https://openlibrary.org/authors/OL37436A/Geoffrey_Chaucer', 'https://openlibrary.org/authors/OL2222460A/John_E._Cunningham']",https://openlibrary.org/images/icons/avatar_book-sm.png
Aventuras De Sherlock Holmes,https://openlibrary.org/works/OL262421W?edition=key%3A/books/OL13216752M,['Arthur Conan Doyle'],['https://openlibrary.org/authors/OL161167A/Arthur_Conan_Doyle'],https://openlibrary.org/images/icons/avatar_book-sm.png
Othello: Macbeth,https://openlibrary.org/works/OL258850W?edition=key%3A/books/OL1633925M,['William Shakespeare'],['https://openlibrary.org/authors/OL9388A/William_Shakespeare'],https://openlibrary.org/images/icons/avatar_book-sm.png
Oliverio Twist,https://openlibrary.org/works/OL8193478W?edition=key%3A/books/OL13072675M,['Charles Dickens'],['https://openlibrary.org/authors/OL24638A/Charles_Dickens'],https://covers.openlibrary.org/b/id/13666539-M.jpg
El Retrato De Dorian Gray / The Picture of Dorian Gray,https://openlibrary.org/works/OL8193416W?edition=key%3A/books/OL13072708M,['Oscar Wilde'],['https://openlibrary.org/authors/OL20646A/Oscar_Wilde'],https://openlibrary.org/images/icons/avatar_book-sm.png
Cumbres Borrascosas,https://openlibrary.org/works/OL21177W?edition=key%3A/books/OL9432432M,['Emily Brontë'],['https://openlibrary.org/authors/OL24529A/Emily_Brontë'],https://openlibrary.org/images/icons/avatar_book-sm.png
La Odisea,https://openlibrary.org/works/OL61982W?edition=key%3A/books/OL13072147M,['Όμηρος'],['https://openlibrary.org/authors/OL18404A/Όμηρος'],https://openlibrary.org/images/icons/avatar_book-sm.png
Huckleberry Finn,https://openlibrary.org/works/OL53908W?edition=key%3A/books/OL13072672M,['Mark Twain'],['https://openlibrary.org/authors/OL18319A/Mark_Twain'],https://openlibrary.org/images/icons/avatar_book-sm.png
Salomé: drame musical en un acte,https://openlibrary.org/works/OL14877882W?edition=key%3A/books/OL43177002M,['Oscar Wilde'],['https://openlibrary.org/authors/OL20646A/Oscar_Wilde'],https://openlibrary.org/images/icons/avatar_book-sm.png
The Riddle of the Sands (Classic Literature With Classical Music. Classic Fiction),https://openlibrary.org/works/OL23797W?edition=key%3A/books/OL9481369M,['Erskine Childers'],['https://openlibrary.org/authors/OL25918A/Erskine_Childers'],https://covers.openlibrary.org/b/id/2293974-M.jpg
"The cathedral prayer book: being the Book of Common Prayer with the music necessary for the use of choirs, together with the canticles and psalter pointed for chanting",https://openlibrary.org/works/OL769120W?edition=key%3A/books/OL14384751M,"['Church of England', 'J. A. Maurault']","['https://openlibrary.org/authors/OL63387A/Church_of_England', 'https://openlibrary.org/authors/OL6390289A/J._A._Maurault']",https://openlibrary.org/images/icons/avatar_book-sm.png
Color Purple (Musical Tie-In),https://openlibrary.org/works/OL273644W?edition=key%3A/books/OL28808296M,['Alice Walker'],['https://openlibrary.org/authors/OL217774A/Alice_Walker'],https://openlibrary.org/images/icons/avatar_book-sm.png
Discovering Classical Music,https://openlibrary.org/works/OL8772290W?edition=key%3A/books/OL11584083M,['Ian Christians'],['https://openlibrary.org/authors/OL2986196A/Ian_Christians'],https://covers.openlibrary.org/b/id/2693703-M.jpg
The Thirteen problems,https://openlibrary.org/works/OL471921W?edition=key%3A/books/OL20211859M,['Agatha Christie'],['https://openlibrary.org/authors/OL27695A/Agatha_Christie'],https://openlibrary.org/images/icons/avatar_book-sm.png
Songs with music,https://openlibrary.org/works/OL24165W?edition=key%3A/books/OL20418631M,['Robert Louis Stevenson'],['https://openlibrary.org/authors/OL25963A/Robert_Louis_Stevenson'],https://openlibrary.org/images/icons/avatar_book-sm.png
"Music: An Appreciation, Brief Edition",https://openlibrary.org/works/OL2770497W?edition=key%3A/books/OL7307799M,['Roger Kamien'],['https://openlibrary.org/authors/OL407704A/Roger_Kamien'],https://covers.openlibrary.org/b/id/1088164-M.jpg
Dangerous Liaisons (Classic Literature with Classical Music),https://openlibrary.org/works/OL1157252W?edition=key%3A/books/OL9161151M,['Pierre Choderlos de Laclos'],['https://openlibrary.org/authors/OL2662558A/Pierre_Choderlos_de_Laclos'],https://covers.openlibrary.org/b/id/1053266-M.jpg
The house at Pooh-Corner,https://openlibrary.org/works/OL476471W?edition=key%3A/books/OL19787883M,['A. A. Milne'],['https://openlibrary.org/authors/OL29881A/A._A._Milne'],https://openlibrary.org/images/icons/avatar_book-sm.png
Eyewitness: Music (Eyewitness Books),https://openlibrary.org/works/OL7960560W?edition=key%3A/books/OL8155967M,['DK Publishing'],['https://openlibrary.org/authors/OL2655350A/DK_Publishing'],https://covers.openlibrary.org/b/id/553009-M.jpg
Sin Novedad En El Frente,https://openlibrary.org/works/OL1209288W?edition=key%3A/books/OL9150699M,"['Erich Maria Remarque', 'Frank Muller']","['https://openlibrary.org/authors/OL122169A/Erich_Maria_Remarque', 'https://openlibrary.org/authors/OL2659522A/Frank_Muller']",https://openlibrary.org/images/icons/avatar_book-sm.png
El Proceso / the Process,https://openlibrary.org/works/OL498463W?edition=key%3A/books/OL9331095M,['Franz Kafka'],['https://openlibrary.org/authors/OL33146A/Franz_Kafka'],https://openlibrary.org/images/icons/avatar_book-sm.png
El Hombre Invisible / the Invisible Man,https://openlibrary.org/works/OL52266W?edition=key%3A/books/OL9424740M,['H. G. Wells'],['https://openlibrary.org/authors/OL13066A/H._G._Wells'],https://covers.openlibrary.org/b/id/13254302-M.jpg
Nineteen eighty-four,https://openlibrary.org/works/OL1168083W?edition=key%3A/books/OL19322160M,['George Orwell'],['https://openlibrary.org/authors/OL118077A/George_Orwell'],https://openlibrary.org/images/icons/avatar_book-sm.png
Los Hermanos Karamazov,https://openlibrary.org/works/OL10432709W?edition=key%3A/books/OL13071190M,['Фёдор Михайлович Достоевский'],['https://openlibrary.org/authors/OL22242A/Фёдор_Михайлович_Достоевский'],https://openlibrary.org/images/icons/avatar_book-sm.png
El Amante De Lady Chatterley,https://openlibrary.org/works/OL81180W?edition=key%3A/books/OL13072697M,['David Herbert Lawrence'],['https://openlibrary.org/authors/OL19964A/David_Herbert_Lawrence'],https://openlibrary.org/images/icons/avatar_book-sm.png
Call of the Wild,https://openlibrary.org/works/OL14942956W?edition=key%3A/books/OL40494779M,['Jack London'],['https://openlibrary.org/authors/OL44633A/Jack_London'],https://openlibrary.org/images/icons/avatar_book-sm.png
The Return of Sherlock Holmes,https://openlibrary.org/works/OL262477W?edition=key%3A/books/OL12227230M,['Arthur Conan Doyle'],['https://openlibrary.org/authors/OL161167A/Arthur_Conan_Doyle'],https://openlibrary.org/images/icons/avatar_book-sm.png
Ana Karenina,https://openlibrary.org/works/OL267096W?edition=key%3A/books/OL9150698M,['Lev Nikolaevič Tolstoy'],['https://openlibrary.org/authors/OL26783A/Lev_Nikolaevič_Tolstoy'],https://openlibrary.org/images/icons/avatar_book-sm.png
Crime and Punishment,https://openlibrary.org/works/OL166894W?edition=key%3A/books/OL10449350M,['Фёдор Михайлович Достоевский'],['https://openlibrary.org/authors/OL22242A/Фёдор_Михайлович_Достоевский'],https://openlibrary.org/images/icons/avatar_book-sm.png
Ethan Frome,https://openlibrary.org/works/OL98501W?edition=key%3A/books/OL39723415M,['Edith Wharton'],['https://openlibrary.org/authors/OL20188A/Edith_Wharton'],https://covers.openlibrary.org/b/id/13526249-M.jpg
La Metamorfosis,https://openlibrary.org/works/OL498556W?edition=key%3A/books/OL9706102M,['Franz Kafka'],['https://openlibrary.org/authors/OL33146A/Franz_Kafka'],https://openlibrary.org/images/icons/avatar_book-sm.png
El Principe Y El Mendigo / The Prince and the Pauper,https://openlibrary.org/works/OL53994W?edition=key%3A/books/OL13072704M,['Mark Twain'],['https://openlibrary.org/authors/OL18319A/Mark_Twain'],https://openlibrary.org/images/icons/avatar_book-sm.png
Dracula,https://openlibrary.org/works/OL85892W?edition=key%3A/books/OL9151494M,['Bram Stoker'],['https://openlibrary.org/authors/OL31727A/Bram_Stoker'],https://openlibrary.org/images/icons/avatar_book-sm.png
Saint Joseph Edition of the New American Bible: Complete Narration With Music,https://openlibrary.org/works/OL17732W?edition=key%3A/books/OL8275842M,['Bible'],['https://openlibrary.org/authors/OL2745568A/Bible'],https://openlibrary.org/images/icons/avatar_book-sm.png
LA Maquina Del Tiempo,https://openlibrary.org/works/OL52267W?edition=key%3A/books/OL9459835M,['H. G. Wells'],['https://openlibrary.org/authors/OL13066A/H._G._Wells'],https://openlibrary.org/images/icons/avatar_book-sm.png
Conde de Montecristo,https://openlibrary.org/works/OL36287W?edition=key%3A/books/OL9732672M,['Alexandre Dumas'],['https://openlibrary.org/authors/OL18236A/Alexandre_Dumas'],https://openlibrary.org/images/icons/avatar_book-sm.png
El Principe / the Prince,https://openlibrary.org/works/OL1089297W?edition=key%3A/books/OL9781174M,['Niccolò Machiavelli'],['https://openlibrary.org/authors/OL23135A/Niccolò_Machiavelli'],https://openlibrary.org/images/icons/avatar_book-sm.png
El gran Gatsby,https://openlibrary.org/works/OL468431W?edition=key%3A/books/OL9561680M,['F. Scott Fitzgerald'],['https://openlibrary.org/authors/OL27349A/F._Scott_Fitzgerald'],https://covers.openlibrary.org/b/id/13822691-M.jpg
Madame Bovary / Madam Bovary,https://openlibrary.org/works/OL893707W?edition=key%3A/books/OL9375324M,['Gustave Flaubert'],['https://openlibrary.org/authors/OL79039A/Gustave_Flaubert'],https://openlibrary.org/images/icons/avatar_book-sm.png
On the art of poetry: with a supplement Aristotle On music,https://openlibrary.org/works/OL13703833W?edition=key%3A/books/OL24941507M,"['Aristotle', 'Leon Golden', 'O. B. Hardison']","['https://openlibrary.org/authors/OL22105A/Aristotle', 'https://openlibrary.org/authors/OL831325A/Leon_Golden', 'https://openlibrary.org/authors/OL452413A/O._B._Hardison']",https://covers.openlibrary.org/b/id/6942713-M.jpg
The Silmarillion: consisting of Quenta Silmarillion (The history of the Silmarils) together with Ainulindalë (The music of the Ainur) and Valaquenta (Account of the Valar) to which is appended Akallabêth (The downfall of Númenor) and of the rings of power and of the thirdage,https://openlibrary.org/works/OL27495W?edition=key%3A/books/OL18515871M,['J.R.R. Tolkien'],['https://openlibrary.org/authors/OL26320A/J.R.R._Tolkien'],https://openlibrary.org/images/icons/avatar_book-sm.png
Clockwork Orange: Play with Music,https://openlibrary.org/works/OL261794W?edition=key%3A/books/OL48673021M,['Anthony Burgess'],['https://openlibrary.org/authors/OL142238A/Anthony_Burgess'],https://openlibrary.org/images/icons/avatar_book-sm.png
White Fang (Classic Literature with Classical Music),https://openlibrary.org/works/OL74504W?edition=key%3A/books/OL9899810M,['Jack London'],['https://openlibrary.org/authors/OL44633A/Jack_London'],https://covers.openlibrary.org/b/id/2293848-M.jpg
The Idiot (Classic Literature with Classical Music),https://openlibrary.org/works/OL166973W?edition=key%3A/books/OL9160836M,['Фёдор Михайлович Достоевский'],['https://openlibrary.org/authors/OL22242A/Фёдор_Михайлович_Достоевский'],https://covers.openlibrary.org/b/id/1053034-M.jpg
Anne of Green Gables (Classic Literature With Classical Music. Junior Classics),https://openlibrary.org/works/OL77792W?edition=key%3A/books/OL9160882M,['Lucy Maud Montgomery'],['https://openlibrary.org/authors/OL5797335A/Lucy_Maud_Montgomery'],https://covers.openlibrary.org/b/id/2293868-M.jpg
Grimm's Fairy Tales (Classic Literature With Classical Music. Junior Classics),https://openlibrary.org/works/OL45361W?edition=key%3A/books/OL9160802M,['Brothers Grimm'],['https://openlibrary.org/authors/OL2658408A/Brothers_Grimm'],https://covers.openlibrary.org/b/id/1053003-M.jpg
Peter Pan (Classic Literature With Classical Music. Junior Classics),https://openlibrary.org/works/OL462007W?edition=key%3A/books/OL9160866M,['J. M. Barrie'],['https://openlibrary.org/authors/OL26997A/J._M._Barrie'],https://covers.openlibrary.org/b/id/1053059-M.jpg
Anne of Avonlea (Classic Literature With Classical Music. Junior Classics),https://openlibrary.org/works/OL272228W?edition=key%3A/books/OL9160909M,['Lucy Maud Montgomery'],['https://openlibrary.org/authors/OL5797335A/Lucy_Maud_Montgomery'],https://covers.openlibrary.org/b/id/1053086-M.jpg
Treasure Island (Classic Literature with Classical Music),https://openlibrary.org/works/OL24034W?edition=key%3A/books/OL9161169M,['Robert Louis Stevenson'],['https://openlibrary.org/authors/OL25963A/Robert_Louis_Stevenson'],https://covers.openlibrary.org/b/id/2293990-M.jpg
The Woman in White (musical tie-in) (Penguin Summer Classics),https://openlibrary.org/works/OL176045W?edition=key%3A/books/OL7358611M,['Wilkie Collins'],['https://openlibrary.org/authors/OL22358A/Wilkie_Collins'],https://covers.openlibrary.org/b/id/107267-M.jpg
Picasso: la pièce à musique de Mougins = Picasso : the music-room in Mougins.,https://openlibrary.org/works/OL145191W?edition=key%3A/books/OL3223077M,"['Pablo Picasso', 'Jean-Louis Andral', 'Pierre Daix']","['https://openlibrary.org/authors/OL44790A/Pablo_Picasso', 'https://openlibrary.org/authors/OL3225101A/Jean-Louis_Andral', 'https://openlibrary.org/authors/OL139551A/Pierre_Daix']",https://openlibrary.org/images/icons/avatar_book-sm.png
The Imitation of Christ: Called Also The Ecclesiastical Music,https://openlibrary.org/works/OL260847W?edition=key%3A/books/OL25930481M,"['Thomas à Kempis', 'Jérôme de Gonnelieu', 'Richard Challoner', 'Ronald Arbuthnott Knox', 'Michael Oakley', 'Paul M. Bechtel', 'Joseph N. Tylenda', 'Elder Mullan', 'Henri Belleau', '29 others']","['https://openlibrary.org/authors/OL245290A/Thomas_à_Kempis', 'https://openlibrary.org/authors/OL1512941A/Jérôme_de_Gonnelieu', 'https://openlibrary.org/authors/OL195843A/Richard_Challoner', 'https://openlibrary.org/authors/OL129894A/Ronald_Arbuthnott_Knox', 'https://openlibrary.org/authors/OL1281117A/Michael_Oakley', 'https://openlibrary.org/authors/OL1234195A/Paul_M._Bechtel', 'https://openlibrary.org/authors/OL403417A/Joseph_N._Tylenda', 'https://openlibrary.org/authors/OL2596758A/Elder_Mullan', 'https://openlibrary.org/authors/OL7427217A/Henri_Belleau', 'https://openlibrary.org/works/OL260847W?edition=key%3A/books/OL25930481M']",https://covers.openlibrary.org/b/id/8241460-M.jpg
Northanger Abbey (Classic Literature with Classical Music),https://openlibrary.org/works/OL66534W?edition=key%3A/books/OL9160847M,['Jane Austen'],['https://openlibrary.org/authors/OL21594A/Jane_Austen'],https://covers.openlibrary.org/b/id/1053044-M.jpg
Pinocchio (Classic Literature With Classical Music. Junior Classics),https://openlibrary.org/works/OL1527356W?edition=key%3A/books/OL9160879M,['Carlo Collodi'],['https://openlibrary.org/authors/OL162098A/Carlo_Collodi'],https://covers.openlibrary.org/b/id/2293866-M.jpg
The Scarlet Letter (Classic Literature with Classical Music),https://openlibrary.org/works/OL455305W?edition=key%3A/books/OL9161068M,['Nathaniel Hawthorne'],['https://openlibrary.org/authors/OL26681A/Nathaniel_Hawthorne'],https://covers.openlibrary.org/b/id/1053228-M.jpg
Shakespeare's tragedy of Macbeth: with Locke's music,https://openlibrary.org/works/OL258902W?edition=key%3A/books/OL15149747M,['William Shakespeare'],['https://openlibrary.org/authors/OL9388A/William_Shakespeare'],https://openlibrary.org/images/icons/avatar_book-sm.png
The Decameron (Classic Literature with Classical Music),https://openlibrary.org/works/OL7180368W?edition=key%3A/books/OL9161058M,['Giovanni Boccaccio'],['https://openlibrary.org/authors/OL2055261A/Giovanni_Boccaccio'],https://covers.openlibrary.org/b/id/1053216-M.jpg
The Secret Garden (Classic Literature With Classical Music. Junior Classics),https://openlibrary.org/works/OL69612W?edition=key%3A/books/OL9161223M,['Frances Hodgson Burnett'],['https://openlibrary.org/authors/OL23767A/Frances_Hodgson_Burnett'],https://covers.openlibrary.org/b/id/2294052-M.jpg
The Three Musketeers (Classic Literature with Classical Music),https://openlibrary.org/works/OL36861W?edition=key%3A/books/OL9160857M,"['Alexandre Dumas', 'Auguste Maquet']","['https://openlibrary.org/authors/OL18236A/Alexandre_Dumas', 'https://openlibrary.org/authors/OL6006699A/Auguste_Maquet']",https://covers.openlibrary.org/b/id/1053053-M.jpg
Just So Stories (Classic Literature With Classical Music. Children's Favorites),https://openlibrary.org/works/OL19899W?edition=key%3A/books/OL9160963M,['Rudyard Kipling'],['https://openlibrary.org/authors/OL24461A/Rudyard_Kipling'],https://covers.openlibrary.org/b/id/1053131-M.jpg
Soul music: a novel of discworld,https://openlibrary.org/works/OL453663W?edition=key%3A/books/OL1104381M,['Terry Pratchett'],['https://openlibrary.org/authors/OL25712A/Terry_Pratchett'],https://covers.openlibrary.org/b/id/8028907-M.jpg
"The Boxcar Children: Books #45-#48; The Mystery of the Stolen Music, The Chocola",https://openlibrary.org/works/OL24656586W?edition=key%3A/books/OL32175949M,"['Gertrude Chandler Warner', 'Shannon Eric Denton', 'Mike Dubisch', 'Dorothy Gregory', 'L. Kate Deal']","['https://openlibrary.org/authors/OL23048A/Gertrude_Chandler_Warner', 'https://openlibrary.org/authors/OL3863513A/Shannon_Eric_Denton', 'https://openlibrary.org/authors/OL3034673A/Mike_Dubisch', 'https://openlibrary.org/authors/OL10299103A/Dorothy_Gregory', 'https://openlibrary.org/authors/OL9145343A/L._Kate_Deal']",https://covers.openlibrary.org/b/id/10834011-M.jpg
Ben Hur (Classic Literature with Classical Music),https://openlibrary.org/works/OL240210W?edition=key%3A/books/OL9161053M,['Lew Wallace'],['https://openlibrary.org/authors/OL317518A/Lew_Wallace'],https://covers.openlibrary.org/b/id/1053211-M.jpg
Papa Goriot,https://openlibrary.org/works/OL85047W?edition=key%3A/books/OL13072698M,['Honoré de Balzac'],['https://openlibrary.org/authors/OL29097A/Honoré_de_Balzac'],https://openlibrary.org/images/icons/avatar_book-sm.png
Los Ultimos Dias De Pompeya,https://openlibrary.org/works/OL61867W?edition=key%3A/books/OL9793020M,"['Edward Bulwer Lytton, Baron Lytton']",['https://openlibrary.org/authors/OL18394A/Edward_Bulwer_Lytton_Baron_Lytton'],https://openlibrary.org/images/icons/avatar_book-sm.png
A history of western music,https://openlibrary.org/works/OL2932136W?edition=key%3A/books/OL15517577M,"['Grout, Donald Jay.', 'Donald J. Grout', 'Claude V. Palisca', 'J. Peter Burkholder']","['https://openlibrary.org/authors/OL446941A/Grout_Donald_Jay.', 'https://openlibrary.org/authors/OL2685166A/Donald_J._Grout', 'https://openlibrary.org/authors/OL721655A/Claude_V._Palisca', 'https://openlibrary.org/authors/OL443122A/J._Peter_Burkholder']",https://covers.openlibrary.org/b/id/10566097-M.jpg
The day of the Triffids,https://openlibrary.org/works/OL1911336W?edition=key%3A/books/OL19787772M,"['John Wyndham', 'Marcel Battin', 'Cover by Andy Bridge', 'Catalina Martinez Munoz']","['https://openlibrary.org/authors/OL228968A/John_Wyndham', 'https://openlibrary.org/authors/OL8007250A/Marcel_Battin', 'https://openlibrary.org/authors/OL8007853A/Cover_by_Andy_Bridge', 'https://openlibrary.org/authors/OL4231569A/Catalina_Martinez_Munoz']",https://openlibrary.org/images/icons/avatar_book-sm.png
Love's labour's lost: a musical,https://openlibrary.org/works/OL362686W?edition=key%3A/books/OL18440155M,['William Shakespeare'],['https://openlibrary.org/authors/OL9388A/William_Shakespeare'],https://openlibrary.org/images/icons/avatar_book-sm.png
Music in theory and practice,https://openlibrary.org/works/OL3002175W?edition=key%3A/books/OL13591934M,"['Bruce Benward', 'Marilyn Saker', 'Gary C. White', 'Gary C White']","['https://openlibrary.org/authors/OL460582A/Bruce_Benward', 'https://openlibrary.org/authors/OL2639222A/Marilyn_Saker', 'https://openlibrary.org/authors/OL2639779A/Gary_C._White', 'https://openlibrary.org/authors/OL2633944A/Gary_C_White']",https://covers.openlibrary.org/b/id/13141551-M.jpg
"The masque of Comus.: The original music by Henry Lawes, together with incidental music, dances, etc.",https://openlibrary.org/works/OL810989W?edition=key%3A/books/OL7034777M,['John Milton'],['https://openlibrary.org/authors/OL68333A/John_Milton'],https://covers.openlibrary.org/b/id/5896146-M.jpg
"Old-Fashioned Girl: A Novel by Louisa May Alcott First Published in 1869, Serialised in the Merry's Museum Magazine Between July and August 1869, and the Basis of a 1949 Musical Film Starring Gloria Jean As Polly",https://openlibrary.org/works/OL29970W?edition=key%3A/books/OL34197454M,['Louisa May Alcott'],['https://openlibrary.org/authors/OL26680A/Louisa_May_Alcott'],https://openlibrary.org/images/icons/avatar_book-sm.png
Nana,https://openlibrary.org/works/OL118984W?edition=key%3A/books/OL9753116M,['Émile Zola'],['https://openlibrary.org/authors/OL32772A/Émile_Zola'],https://openlibrary.org/images/icons/avatar_book-sm.png
Musicophilia: Tales of Music and the Brain,https://openlibrary.org/works/OL277255W?edition=key%3A/books/OL28165667M,['Oliver Sacks'],['https://openlibrary.org/authors/OL217344A/Oliver_Sacks'],https://covers.openlibrary.org/b/id/10104589-M.jpg
The Enjoyment of Music,https://openlibrary.org/works/OL4466706W?edition=key%3A/books/OL7455656M,"['Kristine Forney', ""Andrew Dell'Antonio"", 'Joseph Machlis']","['https://openlibrary.org/authors/OL890630A/Kristine_Forney', ""https://openlibrary.org/authors/OL7394696A/Andrew_Dell'Antonio"", 'https://openlibrary.org/authors/OL230349A/Joseph_Machlis']",https://covers.openlibrary.org/b/id/6635173-M.jpg
Ebe: The Little Musical Box,https://openlibrary.org/works/OL25289173W?edition=key%3A/books/OL33866327M,['Enid Blyton'],['https://openlibrary.org/authors/OL233814A/Enid_Blyton'],https://openlibrary.org/images/icons/avatar_book-sm.png
Maria,https://openlibrary.org/works/OL2854193W?edition=key%3A/books/OL9151483M,['Jorge Isaacs'],['https://openlibrary.org/authors/OL429462A/Jorge_Isaacs'],https://openlibrary.org/images/icons/avatar_book-sm.png
Las Aventuras  De Arthur Gordon Pym,https://openlibrary.org/works/OL40962W?edition=key%3A/books/OL9151493M,['Edgar Allan Poe'],['https://openlibrary.org/authors/OL28127A/Edgar_Allan_Poe'],https://openlibrary.org/images/icons/avatar_book-sm.png
